,location,date,time,harassment_type,reported_by,description
5515,"Mumbai, India",2023-08-09,16:06:49,domestic_violence,non-victim,The victim reported repeated physical abuse at home.
5516,"London, UK",2024-02-14,09:28:38,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
5517,"Ahmedabad, India",2023-11-06,06:27:40,robbery,non-victim,A store was robbed at gunpoint late at night.
5518,"Ahmedabad, India",2024-02-26,13:39:54,homicide,non-victim,A suspect was arrested in connection with a murder case.
5519,"Visakhapatnam, India",2022-01-30,21:49:06,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
5520,"Navi Mumbai, India",2023-03-07,21:22:32,robbery,victim,The victim was attacked and had their wallet taken by force.
5521,"Bhopal, India",2022-03-03,03:23:17,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
5522,"Varanasi, India",2024-07-19,02:42:15,burglary,victim,The victim reported unauthorized entry into their apartment.
5523,"Leeds, UK",2022-09-24,19:45:46,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
5524,"Thane, India",2024-09-16,00:04:21,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
5525,"Nagoya, Japan",2021-12-10,23:03:18,assault,non-victim,The victim was physically attacked in a public area.
5526,"Solapur, India",2021-02-18,14:03:12,burglary,victim,Burglars were caught on CCTV entering a local business at night.
5527,"Wollongong, Australia",2023-07-11,21:49:20,arson,victim,"A building was deliberately set on fire, causing significant damage."
5528,"Paris, France",2022-09-27,11:21:55,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
5529,"San Diego, USA",2020-08-31,21:22:20,identity_theft,victim,The victim’s personal details were used to open fake bank accounts.
5530,"Kota, India",2023-09-09,08:56:32,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
5531,"Aurangabad, India",2025-01-27,05:58:52,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
5532,"Strasbourg, France",2020-08-05,16:46:46,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
5533,"Nice, France",2021-09-14,00:52:09,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
5534,"Howrah, India",2021-03-03,13:00:34,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
5535,"Gwalior, India",2023-05-19,11:46:19,sexual_assault,victim,The victim was harassed in a public place by an unknown person.
5536,"Meerut, India",2020-09-29,23:23:04,public_intoxication,victim,The suspect was found heavily drunk and creating a scene.
5537,"Houston, USA",2021-04-12,00:38:54,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
5538,"Raipur, India",2024-07-31,07:58:56,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
5539,"Ahmedabad, India",2024-12-03,20:34:11,domestic_violence,victim,The victim reported repeated physical abuse at home.
5540,"Howrah, India",2024-09-21,02:57:05,homicide,victim,A suspect was arrested in connection with a murder case.
5541,"Hyderabad, India",2021-10-03,04:59:12,drug_offense,non-victim,A suspect was caught selling illegal substances in the area.
5542,"Thane, India",2023-04-27,09:28:49,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
5543,"Newcastle, Australia",2020-10-26,01:10:15,vandalism,victim,Public property was defaced with graffiti and damage.
5544,"Yokohama, Japan",2021-08-27,03:12:57,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
5545,"Surat, India",2024-11-05,01:37:00,fraud,non-victim,A suspect created false documents to claim financial benefits.
5546,"Guwahati, India",2020-03-01,10:54:58,counterfeiting,victim,Fake currency notes were found in a local shop.
5547,"Meerut, India",2024-04-30,18:21:07,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
5548,"Kota, India",2024-05-20,04:02:50,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
5549,"Chicago, USA",2022-06-20,23:58:34,kidnapping,non-victim,The victim was forcefully taken and held for ransom.
5550,"Bhopal, India",2020-05-26,17:46:31,fraud,non-victim,The victim was scammed into transferring money to a fake account.
5551,"Nantes, France",2022-01-10,00:17:49,robbery,victim,A store was robbed at gunpoint late at night.
5552,"San Antonio, USA",2024-11-06,19:01:05,burglary,victim,Burglars were caught on CCTV entering a local business at night.
5553,"Kalyan-Dombivli, India",2022-06-28,00:13:45,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
5554,"Surat, India",2024-08-27,05:43:28,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
5555,"Nantes, France",2021-11-22,05:03:38,vandalism,victim,Public property was defaced with graffiti and damage.
5556,"Kanpur, India",2022-09-20,22:51:44,traffic_violation,victim,A suspect was fined for reckless driving.
5557,"Nice, France",2023-02-15,01:45:49,vandalism,victim,A suspect was caught damaging parked vehicles in the area.
5558,"Lyon, France",2022-02-25,02:22:34,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
5559,"New York City, USA",2020-04-18,21:35:25,shoplifting,victim,Store security apprehended an individual for shoplifting.
5560,"Kobe, Japan",2024-11-08,15:30:18,burglary,victim,Burglars were caught on CCTV entering a local business at night.
5561,"Houston, USA",2020-03-07,00:39:25,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
5562,"Coimbatore, India",2022-11-28,09:42:06,arson,non-victim,The victim’s property was intentionally burned down.
5563,"Aurangabad, India",2024-01-18,23:42:14,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
5564,"Surat, India",2023-03-14,19:50:45,identity_theft,victim,An individual’s identity was stolen for online fraud.
5565,"Srinagar, India",2020-07-08,13:54:48,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
5566,"Allahabad, India",2020-01-11,20:27:02,burglary,victim,A suspect broke into the victim's house and stole valuables.
5567,"Liverpool, UK",2022-04-04,04:16:24,identity_theft,victim,A suspect was caught using someone else’s credentials illegally.
5568,"Vijayawada, India",2021-04-10,16:02:10,robbery,non-victim,A store was robbed at gunpoint late at night.
5569,"Kyoto, Japan",2024-05-11,03:44:54,cybercrime,non-victim,The victim’s social media account was hacked and misused.
5570,"Philadelphia, USA",2021-05-22,10:12:16,vandalism,non-victim,Public property was defaced with graffiti and damage.
5571,"Meerut, India",2024-07-21,23:54:04,drug_offense,non-victim,Police seized a large quantity of banned drugs.
5572,"Hubli-Dharwad, India",2020-01-19,00:36:30,domestic_violence,victim,The victim reported repeated physical abuse at home.
5573,"London, UK",2025-01-28,12:56:13,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
5574,"Kolkata, India",2022-08-19,04:17:35,extortion,non-victim,The victim was coerced into handing over valuable property.
5575,"Guwahati, India",2020-03-23,16:28:30,domestic_violence,victim,The victim reported repeated physical abuse at home.
5576,"Jaipur, India",2021-09-19,13:51:49,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
5577,"Osaka, Japan",2020-09-29,13:54:16,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
5578,"Melbourne, Australia",2022-05-27,18:29:55,shoplifting,victim,The victim’s business suffered repeated theft incidents.
5579,"Mumbai, India",2023-09-20,03:11:16,public_intoxication,victim,A disorderly individual was escorted away by authorities.
5580,"Kobe, Japan",2023-02-15,20:22:22,traffic_violation,victim,"An individual ran a red light, causing a near accident."
5581,"San Jose, USA",2023-06-05,14:46:31,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
5582,"London, UK",2020-02-25,23:13:48,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
5583,"Nantes, France",2021-07-29,17:21:09,assault,victim,The victim sustained injuries after being assaulted by a stranger.
5584,"Jaipur, India",2024-02-09,23:27:33,public_intoxication,victim,A disorderly individual was escorted away by authorities.
5585,"Houston, USA",2021-06-18,11:42:49,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
5586,"Hubli-Dharwad, India",2021-04-02,13:10:09,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
5587,"Philadelphia, USA",2021-05-22,16:47:36,cybercrime,victim,Personal data was stolen through an online scam.
5588,"Ranchi, India",2021-05-22,16:14:03,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
5589,"Bordeaux, France",2023-05-15,14:35:49,drug_offense,victim,An individual was found in possession of narcotics during a search.
5590,"Kanpur, India",2020-12-03,12:43:30,traffic_violation,victim,A driver was caught speeding in a restricted area.
5591,"Fukuoka, Japan",2024-08-21,20:07:45,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
5592,"Ahmedabad, India",2022-10-03,03:22:56,public_intoxication,victim,An intoxicated person caused a disturbance in a public place.
5593,"Fukuoka, Japan",2021-10-15,04:34:56,kidnapping,victim,Police rescued an individual who had been kidnapped for days.
5594,"Lille, France",2021-05-04,08:19:38,robbery,victim,A suspect threatened the victim and stole their belongings.
5595,"Raipur, India",2024-08-12,20:37:27,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
5596,"Sheffield, UK",2023-07-26,22:36:14,cybercrime,victim,Personal data was stolen through an online scam.
5597,"Ahmedabad, India",2023-06-29,10:11:02,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
5598,"Bhopal, India",2024-06-02,19:52:29,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
5599,"Wollongong, Australia",2023-03-16,18:12:55,extortion,non-victim,A suspect blackmailed a businessman for protection fees.
5600,"Thane, India",2021-06-14,08:26:52,counterfeiting,victim,Fake currency notes were found in a local shop.
5601,"Chicago, USA",2023-10-07,03:21:07,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
5602,"Kobe, Japan",2021-01-11,08:55:29,fraud,non-victim,A business reported fraudulent transactions in their records.
5603,"Rajkot, India",2021-08-08,19:00:32,drug_offense,victim,A suspect was caught selling illegal substances in the area.
5604,"Melbourne, Australia",2020-02-15,23:23:29,fraud,victim,A suspect created false documents to claim financial benefits.
5605,"Delhi, India",2024-12-26,10:28:51,domestic_violence,non-victim,The victim reported repeated physical abuse at home.
5606,"Hubli-Dharwad, India",2022-04-11,21:53:28,fraud,victim,The victim was scammed into transferring money to a fake account.
5607,"Leeds, UK",2021-11-30,05:46:31,traffic_violation,non-victim,A driver was caught speeding in a restricted area.
5608,"Paris, France",2021-12-22,07:09:06,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
5609,"Bangalore, India",2024-08-05,08:33:58,fraud,victim,The victim was scammed into transferring money to a fake account.
5610,"Srinagar, India",2024-08-16,04:25:03,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
5611,"Surat, India",2023-01-30,07:10:50,robbery,victim,A store was robbed at gunpoint late at night.
5612,"Osaka, Japan",2023-04-19,15:08:23,counterfeiting,non-victim,The suspect was caught selling counterfeit goods online.
5613,"San Antonio, USA",2021-02-09,19:09:45,kidnapping,victim,A child was abducted near a school by an unknown suspect.
5614,"Sheffield, UK",2023-03-17,05:59:55,robbery,non-victim,A store was robbed at gunpoint late at night.
5615,"Bangalore, India",2023-09-16,09:07:38,cybercrime,non-victim,Personal data was stolen through an online scam.
5616,"Brisbane, Australia",2023-11-25,19:14:25,counterfeiting,victim,The suspect was caught selling counterfeit goods online.
5617,"Kalyan-Dombivli, India",2023-03-06,15:53:00,burglary,victim,Burglars were caught on CCTV entering a local business at night.
5618,"Guwahati, India",2022-10-27,01:33:02,traffic_violation,victim,A driver was caught speeding in a restricted area.
5619,"Montpellier, France",2024-02-14,09:52:55,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
5620,"Madurai, India",2023-02-04,18:57:36,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
5621,"Allahabad, India",2021-11-19,13:19:50,vehicle_stolen,non-victim,A suspect stole a car from a parking lot.
5622,"San Antonio, USA",2022-09-12,20:24:45,vandalism,non-victim,Public property was defaced with graffiti and damage.
5623,"Meerut, India",2020-12-01,22:46:32,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
5624,"Visakhapatnam, India",2020-10-26,06:57:18,burglary,victim,The victim reported unauthorized entry into their apartment.
5625,"Jaipur, India",2020-02-22,10:54:40,shoplifting,victim,Store security apprehended an individual for shoplifting.
5626,"New York City, USA",2020-01-30,10:29:14,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
5627,"Paris, France",2023-07-06,19:46:45,vehicle_stolen,non-victim,A suspect stole a car from a parking lot.
5628,"Toulouse, France",2021-08-19,13:57:32,fraud,victim,A business reported fraudulent transactions in their records.
5629,"Kawasaki, Japan",2021-05-25,03:05:35,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
5630,"Houston, USA",2023-12-18,16:55:02,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
5631,"Saitama, Japan",2024-12-18,23:31:02,cybercrime,victim,The victim’s social media account was hacked and misused.
5632,"Bristol, UK",2023-07-03,17:52:24,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
5633,"Paris, France",2020-10-31,10:13:44,vehicle_stolen,victim,The victim’s motorcycle was taken while parked outside a store.
5634,"Philadelphia, USA",2020-03-14,13:53:27,homicide,non-victim,A suspect was arrested in connection with a murder case.
5635,"Brisbane, Australia",2020-11-03,20:43:13,vehicle_stolen,victim,A suspect stole a car from a parking lot.
5636,"Amritsar, India",2023-10-21,22:30:55,arson,non-victim,An unknown suspect ignited a vehicle in a parking lot.
5637,"Montpellier, France",2024-01-19,00:45:46,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
5638,"Aurangabad, India",2023-01-29,20:19:16,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
5639,"Nagoya, Japan",2023-03-22,00:48:06,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
5640,"Jodhpur, India",2020-05-25,12:49:43,identity_theft,non-victim,A suspect was caught using someone else’s credentials illegally.
5641,"Dallas, USA",2023-08-22,17:15:49,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
5642,"Coimbatore, India",2020-09-03,03:28:47,sexual_assault,victim,The victim reported unwanted physical advances by the suspect.
5643,"Indore, India",2021-05-06,18:24:20,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
5644,"Kalyan-Dombivli, India",2022-05-17,20:26:25,kidnapping,victim,The victim was forcefully taken and held for ransom.
5645,"Meerut, India",2022-11-23,09:45:32,burglary,victim,The victim reported unauthorized entry into their apartment.
5646,"Gwalior, India",2023-11-11,12:10:13,extortion,non-victim,The victim received threats demanding money for safety.
5647,"Birmingham, UK",2024-04-01,21:01:30,traffic_violation,non-victim,A suspect was fined for reckless driving.
5648,"Varanasi, India",2021-09-25,23:09:05,homicide,non-victim,The victim was fatally attacked by an unknown suspect.
5649,"Visakhapatnam, India",2022-01-27,08:01:49,domestic_violence,victim,The victim suffered emotional and physical abuse over months.
5650,"Edinburgh, UK",2025-01-17,10:34:54,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
5651,"Nashik, India",2020-01-07,12:53:21,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
5652,"Gwalior, India",2023-03-18,12:03:02,shoplifting,non-victim,The victim’s business suffered repeated theft incidents.
5653,"New York City, USA",2022-04-20,05:53:12,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
5654,"Jaipur, India",2021-08-29,03:19:25,fraud,non-victim,The victim was scammed into transferring money to a fake account.
5655,"Indore, India",2022-12-05,06:28:09,counterfeiting,victim,Fake currency notes were found in a local shop.
5656,"Yokohama, Japan",2020-08-22,03:32:20,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
5657,"Pimpri-Chinchwad, India",2024-09-27,12:43:23,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
5658,"Patna, India",2020-02-20,19:28:38,fraud,non-victim,A business reported fraudulent transactions in their records.
5659,"San Diego, USA",2020-06-01,07:25:27,vandalism,non-victim,Public property was defaced with graffiti and damage.
5660,"Delhi, India",2021-12-01,16:41:46,robbery,victim,The victim was attacked and had their wallet taken by force.
5661,"Hubli-Dharwad, India",2023-02-03,09:53:36,identity_theft,non-victim,The victim’s personal details were used to open fake bank accounts.
5662,"Surat, India",2024-01-28,02:35:45,shoplifting,victim,A suspect was caught stealing items from a retail store.
5663,"Los Angeles, USA",2020-04-22,04:38:43,drug_offense,victim,Police seized a large quantity of banned drugs.
5664,"Bristol, UK",2021-01-13,07:46:33,burglary,victim,Burglars were caught on CCTV entering a local business at night.
5665,"San Antonio, USA",2020-12-14,21:59:51,vehicle_stolen,non-victim,A suspect stole a car from a parking lot.
5666,"Coimbatore, India",2025-01-07,13:42:04,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
5667,"Faridabad, India",2021-11-17,16:36:23,domestic_violence,non-victim,A suspect was arrested for assaulting their spouse.
5668,"Adelaide, Australia",2021-01-11,15:46:30,public_intoxication,victim,A disorderly individual was escorted away by authorities.
5669,"Osaka, Japan",2022-06-27,16:11:17,arson,victim,The victim’s property was intentionally burned down.
5670,"Meerut, India",2023-04-25,10:57:53,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
5671,"Vijayawada, India",2024-01-03,06:04:03,public_intoxication,victim,A disorderly individual was escorted away by authorities.
5672,"Houston, USA",2023-08-31,20:37:54,drug_offense,non-victim,An individual was found in possession of narcotics during a search.
5673,"Hyderabad, India",2024-08-13,18:52:17,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
5674,"Leeds, UK",2021-04-05,21:27:16,shoplifting,victim,The victim’s business suffered repeated theft incidents.
5675,"Paris, France",2024-02-21,01:56:36,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
5676,"Nagoya, Japan",2024-10-10,17:16:50,firearm_offense,victim,Police arrested an individual for illegal firearm possession.
5677,"Logan City, Australia",2024-03-16,14:39:51,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
5678,"Mumbai, India",2024-03-05,06:02:49,sexual_assault,non-victim,A suspect was arrested for inappropriate behavior towards a minor.
5679,"Chandigarh, India",2024-12-09,08:34:33,arson,victim,The victim’s property was intentionally burned down.
5680,"Sheffield, UK",2021-08-25,02:52:37,drug_offense,victim,Police seized a large quantity of banned drugs.
5681,"Los Angeles, USA",2020-04-14,23:13:06,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
5682,"Strasbourg, France",2022-02-04,10:39:28,shoplifting,victim,A suspect was caught stealing items from a retail store.
5683,"New York City, USA",2021-04-05,10:28:08,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
5684,"Brisbane, Australia",2020-04-05,21:30:14,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
5685,"Vasai-Virar, India",2020-08-30,03:19:47,vehicle_stolen,non-victim,The victim’s motorcycle was taken while parked outside a store.
5686,"Kyoto, Japan",2021-12-27,04:35:30,assault,victim,The victim was physically attacked in a public area.
5687,"New York City, USA",2023-05-07,17:11:20,vandalism,victim,Public property was defaced with graffiti and damage.
5688,"Paris, France",2022-05-08,19:41:30,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
5689,"Nashik, India",2021-02-01,02:12:39,drug_offense,victim,A suspect was caught selling illegal substances in the area.
5690,"Jodhpur, India",2023-10-28,23:14:54,domestic_violence,victim,The victim reported repeated physical abuse at home.
5691,"Rajkot, India",2021-11-17,18:14:52,public_intoxication,non-victim,An intoxicated person caused a disturbance in a public place.
5692,"Tokyo, Japan",2020-09-17,20:18:22,extortion,victim,The victim was coerced into handing over valuable property.
5693,"Houston, USA",2024-11-01,16:59:21,extortion,non-victim,A suspect blackmailed a businessman for protection fees.
5694,"Osaka, Japan",2021-06-03,02:41:25,drug_offense,victim,An individual was found in possession of narcotics during a search.
5695,"Aurangabad, India",2022-07-29,03:19:57,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
5696,"Logan City, Australia",2021-10-22,12:27:45,assault,victim,A suspect punched and kicked the victim during an altercation.
5697,"Patna, India",2020-08-12,10:31:44,assault,non-victim,A suspect punched and kicked the victim during an altercation.
5698,"Osaka, Japan",2022-08-29,05:39:28,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
5699,"Howrah, India",2020-05-30,19:32:23,fraud,victim,A suspect created false documents to claim financial benefits.
5700,"Allahabad, India",2022-04-08,08:56:52,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
5701,"Nagoya, Japan",2022-10-24,10:06:26,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
5702,"Varanasi, India",2020-08-08,04:34:56,robbery,non-victim,The victim was attacked and had their wallet taken by force.
5703,"Strasbourg, France",2022-04-01,09:36:28,assault,non-victim,The victim sustained injuries after being assaulted by a stranger.
5704,"Sydney, Australia",2023-03-01,22:22:27,public_intoxication,non-victim,The suspect was found heavily drunk and creating a scene.
5705,"Saitama, Japan",2024-10-06,22:23:38,cybercrime,non-victim,The victim’s social media account was hacked and misused.
5706,"Faridabad, India",2024-10-03,04:15:42,robbery,victim,A store was robbed at gunpoint late at night.
5707,"Raipur, India",2022-03-21,14:40:14,illegal_possession,non-victim,A suspect was arrested for possessing illegal substances.
5708,"Jabalpur, India",2023-08-13,05:07:39,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
5709,"Kobe, Japan",2020-01-05,08:50:12,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
5710,"Cardiff, UK",2020-07-20,03:37:30,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
5711,"Lille, France",2024-08-19,06:21:58,counterfeiting,victim,A large batch of fake identification documents was seized.
5712,"Delhi, India",2024-12-06,23:33:36,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
5713,"Chicago, USA",2024-01-30,22:25:07,cybercrime,victim,A phishing email tricked the victim into revealing bank details.
5714,"Adelaide, Australia",2020-12-27,23:21:28,domestic_violence,victim,A suspect was arrested for assaulting their spouse.
5715,"Surat, India",2024-06-26,07:04:58,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
5716,"Ludhiana, India",2021-04-03,04:06:57,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
5717,"Patna, India",2021-05-28,00:03:45,homicide,victim,"A body was discovered at the crime scene, leading to an investigation."
5718,"London, UK",2022-03-17,15:11:52,illegal_possession,non-victim,The victim reported unlawful items in a neighbor’s possession.
5719,"Manchester, UK",2023-05-14,16:55:19,kidnapping,non-victim,A child was abducted near a school by an unknown suspect.
5720,"Chennai, India",2024-05-16,07:04:06,vandalism,victim,The victim’s home was vandalized overnight by unknown individuals.
5721,"Dallas, USA",2024-11-22,01:30:56,illegal_possession,non-victim,Police confiscated unauthorized materials from the suspect.
5722,"San Diego, USA",2021-06-27,09:51:30,public_intoxication,non-victim,A disorderly individual was escorted away by authorities.
5723,"Toulouse, France",2020-01-03,05:36:33,vandalism,non-victim,The victim’s home was vandalized overnight by unknown individuals.
5724,"Edinburgh, UK",2023-10-07,21:23:05,vandalism,non-victim,A suspect was caught damaging parked vehicles in the area.
5725,"Chennai, India",2020-06-16,18:54:52,domestic_violence,victim,The victim reported repeated physical abuse at home.
5726,"Tokyo, Japan",2022-05-22,14:37:54,arson,victim,An unknown suspect ignited a vehicle in a parking lot.
5727,"Chicago, USA",2023-10-21,08:23:13,public_intoxication,victim,A disorderly individual was escorted away by authorities.
5728,"Bangalore, India",2022-06-04,05:25:53,drug_offense,victim,An individual was found in possession of narcotics during a search.
5729,"Edinburgh, UK",2023-05-22,23:06:18,fraud,non-victim,The victim was scammed into transferring money to a fake account.
5730,"Kalyan-Dombivli, India",2022-07-02,12:07:35,fraud,victim,A suspect created false documents to claim financial benefits.
5731,"London, UK",2020-03-03,08:49:19,assault,victim,A suspect punched and kicked the victim during an altercation.
5732,"Bristol, UK",2021-10-11,12:28:36,extortion,victim,A suspect blackmailed a businessman for protection fees.
5733,"San Jose, USA",2022-11-14,22:45:22,robbery,non-victim,The victim was attacked and had their wallet taken by force.
5734,"Sydney, Australia",2024-02-22,05:54:30,firearm_offense,victim,Gunshots were reported in a residential neighborhood.
5735,"Visakhapatnam, India",2021-07-03,20:54:43,arson,non-victim,"A building was deliberately set on fire, causing significant damage."
5736,"Rajkot, India",2020-05-13,16:13:04,drug_offense,victim,An individual was found in possession of narcotics during a search.
5737,"Nagoya, Japan",2024-04-16,10:23:43,extortion,non-victim,The victim received threats demanding money for safety.
5738,"Guwahati, India",2020-06-16,14:18:16,drug_offense,non-victim,Police seized a large quantity of banned drugs.
5739,"Pune, India",2022-06-13,17:36:51,assault,victim,The victim sustained injuries after being assaulted by a stranger.
5740,"Lucknow, India",2024-12-09,22:35:33,firearm_offense,victim,A suspect was found carrying an unlicensed weapon.
5741,"Paris, France",2024-05-10,21:06:39,robbery,victim,A store was robbed at gunpoint late at night.
5742,"Lille, France",2021-12-28,19:05:44,drug_offense,non-victim,Police seized a large quantity of banned drugs.
5743,"Gold Coast, Australia",2022-03-04,19:44:52,assault,non-victim,A suspect punched and kicked the victim during an altercation.
5744,"Vasai-Virar, India",2023-11-04,02:47:40,cybercrime,victim,The victim’s social media account was hacked and misused.
5745,"Jaipur, India",2023-12-22,03:29:04,fraud,victim,A business reported fraudulent transactions in their records.
5746,"Thane, India",2021-05-26,04:19:26,burglary,non-victim,The victim reported unauthorized entry into their apartment.
5747,"Edinburgh, UK",2024-04-14,10:13:14,shoplifting,victim,The victim’s business suffered repeated theft incidents.
5748,"Fukuoka, Japan",2022-03-11,01:03:45,shoplifting,victim,Store security apprehended an individual for shoplifting.
5749,"Madurai, India",2020-04-15,03:28:55,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
5750,"Marseille, France",2024-10-16,16:52:57,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
5751,"Pune, India",2024-02-17,23:55:48,homicide,non-victim,A suspect was arrested in connection with a murder case.
5752,"Paris, France",2021-09-07,21:54:55,fraud,victim,The victim was scammed into transferring money to a fake account.
5753,"Gold Coast, Australia",2023-07-20,04:12:00,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
5754,"Ghaziabad, India",2023-01-25,02:11:13,traffic_violation,non-victim,"An individual ran a red light, causing a near accident."
5755,"Ghaziabad, India",2024-05-31,06:53:17,firearm_offense,non-victim,Police arrested an individual for illegal firearm possession.
5756,"Chandigarh, India",2022-05-10,17:29:33,traffic_violation,victim,"An individual ran a red light, causing a near accident."
5757,"Raipur, India",2020-06-01,20:37:08,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
5758,"Logan City, Australia",2023-06-27,00:21:10,kidnapping,non-victim,Police rescued an individual who had been kidnapped for days.
5759,"Guwahati, India",2023-12-07,23:50:44,shoplifting,non-victim,A suspect was caught stealing items from a retail store.
5760,"Nagoya, Japan",2020-02-14,11:34:10,illegal_possession,victim,The victim reported unlawful items in a neighbor’s possession.
5761,"Ahmedabad, India",2022-02-03,03:46:02,shoplifting,non-victim,Store security apprehended an individual for shoplifting.
5762,"Nantes, France",2021-11-05,16:06:27,firearm_offense,non-victim,A suspect was found carrying an unlicensed weapon.
5763,"Solapur, India",2024-03-01,21:01:01,homicide,victim,A suspect was arrested in connection with a murder case.
5764,"Osaka, Japan",2020-05-28,10:22:25,fraud,non-victim,A suspect created false documents to claim financial benefits.
5765,"Fukuoka, Japan",2020-03-09,14:05:47,extortion,victim,A suspect blackmailed a businessman for protection fees.
5766,"Bristol, UK",2020-09-12,11:52:59,burglary,non-victim,The victim reported unauthorized entry into their apartment.
5767,"Dallas, USA",2020-08-22,19:22:43,firearm_offense,non-victim,Gunshots were reported in a residential neighborhood.
5768,"San Antonio, USA",2023-06-15,21:16:31,burglary,non-victim,A suspect broke into the victim's house and stole valuables.
5769,"Navi Mumbai, India",2024-04-22,00:42:33,sexual_assault,victim,A suspect was arrested for inappropriate behavior towards a minor.
5770,"San Jose, USA",2022-11-24,00:53:52,assault,victim,The victim was physically attacked in a public area.
5771,"Ahmedabad, India",2024-07-28,23:28:07,vehicle_stolen,non-victim,Authorities recovered a stolen vehicle from a hidden location.
5772,"San Diego, USA",2020-12-22,21:58:48,burglary,non-victim,Burglars were caught on CCTV entering a local business at night.
